dstport,protocol,tag
9200,tcp,elasticsearch
9200,tcp,elasticsearch
8080,tcp,jenkins
194,tcp,irc
8080,tcp,http
3389,tcp,rdp
8080,tcp,jenkins
20,tcp,ftp
8443,tcp,https
194,tcp,irc
8080,tcp,http
5060,udp,sip
9200,tcp,elasticsearch
993,tcp,imap
6000,tcp,x11
389,tcp,ldap
9092,tcp,kafka
22,tcp,ssh
6443,tcp,kubernetes
9090,tcp,prometheus
110,tcp,pop3
69,udp,tftp
5900,tcp,vnc
11211,tcp,memcached
139,tcp,samba
162,udp,snmp
3389,tcp,rdp
443,tcp,gitlab
23,tcp,telnet
6000,tcp,x11
5938,tcp,teamviewer
27017,tcp,mongodb
22,tcp,ssh
6443,tcp,kubernetes
5900,tcp,vnc
6000,tcp,x11
67,udp,dhcp
9042,tcp,cassandra
123,udp,ntp
2375,tcp,docker
22,tcp,ssh
587,tcp,smtp
6443,tcp,kubernetes
9090,tcp,prometheus
22,tcp,ssh
6000,tcp,x11
161,udp,snmp
993,tcp,imap
110,tcp,pop3
8443,tcp,https
993,tcp,imap
8086,tcp,influxdb
1812,udp,radius
22,tcp,ssh
2181,tcp,zookeeper
8080,tcp,jenkins
5432,tcp,postgresql
2375,tcp,docker
5900,tcp,vnc
514,udp,syslog
53,udp,dns
8080,tcp,http
2379,tcp,etcd
3306,tcp,mysql
2379,tcp,etcd
9090,tcp,prometheus
873,tcp,rsync
110,tcp,pop3
3306,tcp,mysql
9200,tcp,elasticsearch
8080,tcp,jenkins
995,tcp,pop3
5061,udp,sip
443,tcp,web
161,udp,snmp
69,udp,tftp
1812,udp,radius
22,tcp,scp
443,tcp,gitlab
6443,tcp,kubernetes
389,tcp,ldap
2379,tcp,etcd
445,tcp,samba
389,tcp,ldap
22,tcp,scp
873,tcp,rsync
8080,tcp,jenkins
3000,tcp,grafana
22,tcp,ssh
123,udp,ntp
27017,tcp,mongodb
80,tcp,gitlab
139,tcp,samba
5900,tcp,vnc
22,tcp,ssh
5938,tcp,teamviewer
2379,tcp,etcd
139,tcp,samba
5900,tcp,vnc
2379,tcp,etcd
3000,tcp,grafana
8080,tcp,jenkins
636,tcp,ldap
443,tcp,https
993,tcp,imap
162,udp,snmp
123,udp,ntp
6443,tcp,kubernetes
3000,tcp,grafana
443,tcp,web
2049,tcp,nfs
636,tcp,ldap
587,tcp,smtp
20,tcp,ftp
27017,tcp,mongodb
67,udp,dhcp
9090,tcp,prometheus
636,tcp,ldap
636,tcp,ldap
443,tcp,https
636,tcp,ldap
5060,udp,sip
2375,tcp,docker
194,tcp,irc
514,udp,syslog
3306,tcp,mysql
6379,tcp,redis
8080,tcp,jenkins
3000,tcp,grafana
8086,tcp,influxdb
1812,udp,radius
123,udp,ntp
8443,tcp,web
143,tcp,imap
9042,tcp,cassandra
123,udp,ntp
2181,tcp,zookeeper
2181,tcp,zookeeper
23,tcp,telnet
873,tcp,rsync
53,tcp,dns
2181,tcp,zookeeper
53,udp,dns
80,tcp,gitlab
445,tcp,samba
2049,tcp,nfs
67,udp,dhcp
22,tcp,sftp
25,tcp,smtp
194,tcp,irc
873,tcp,rsync
5060,udp,sip
67,udp,dhcp
6379,tcp,redis
2049,tcp,nfs
6000,tcp,x11
8080,tcp,http
123,udp,ntp
9090,tcp,prometheus
80,tcp,gitlab
2375,tcp,docker
3000,tcp,grafana
873,tcp,rsync
5900,tcp,vnc
389,tcp,ldap
68,udp,dhcp
11211,tcp,memcached
22,tcp,scp
2049,tcp,nfs
443,tcp,web
5938,tcp,teamviewer
123,udp,ntp
21,tcp,ftp
67,udp,dhcp
465,tcp,smtp
8443,tcp,https
5060,udp,sip
80,tcp,gitlab
69,udp,tftp
11211,tcp,memcached
22,tcp,sftp
68,udp,dhcp
445,tcp,samba
11211,tcp,memcached
3389,tcp,rdp
993,tcp,imap
80,tcp,http
993,tcp,imap
123,udp,ntp
23,tcp,telnet
161,udp,snmp
2379,tcp,etcd
20,tcp,ftp
2181,tcp,zookeeper
389,tcp,ldap
5222,tcp,xmpp
6379,tcp,redis
80,tcp,web
2181,tcp,zookeeper
3306,tcp,mysql
636,tcp,ldap
636,tcp,ldap
5060,udp,sip
3000,tcp,grafana
9200,tcp,elasticsearch
23,tcp,telnet
2375,tcp,docker
5938,tcp,teamviewer
6000,tcp,x11
514,udp,syslog
22,tcp,ssh
443,tcp,gitlab
22,tcp,scp
2181,tcp,zookeeper
9090,tcp,prometheus
11211,tcp,memcached
873,tcp,rsync
636,tcp,ldap
161,udp,snmp
53,tcp,dns
11211,tcp,memcached
873,tcp,rsync
110,tcp,pop3
67,udp,dhcp
6379,tcp,redis
445,tcp,samba
445,tcp,samba
6443,tcp,kubernetes
514,udp,syslog
80,tcp,gitlab
68,udp,dhcp
3306,tcp,mysql
139,tcp,samba
8080,tcp,jenkins
6443,tcp,kubernetes
3000,tcp,grafana
11211,tcp,memcached
443,tcp,https
873,tcp,rsync
5938,tcp,teamviewer
110,tcp,pop3
3000,tcp,grafana
1812,udp,radius
22,tcp,scp
161,udp,snmp
514,udp,syslog
8000,tcp,web
80,tcp,http
8080,tcp,jenkins
22,tcp,sftp
123,udp,ntp
5060,udp,sip
22,tcp,scp
23,tcp,telnet
5938,tcp,teamviewer
110,tcp,pop3
6443,tcp,kubernetes
5432,tcp,postgresql
23,tcp,telnet
69,udp,tftp
123,udp,ntp
27017,tcp,mongodb
443,tcp,web
3306,tcp,mysql
636,tcp,ldap
5432,tcp,postgresql
162,udp,snmp
8086,tcp,influxdb
53,tcp,dns
1812,udp,radius
9092,tcp,kafka
6443,tcp,kubernetes
9090,tcp,prometheus
5432,tcp,postgresql
9042,tcp,cassandra
5900,tcp,vnc
993,tcp,imap
80,tcp,http
5900,tcp,vnc
995,tcp,pop3
22,tcp,sftp
123,udp,ntp
8080,tcp,jenkins
22,tcp,ssh
5432,tcp,postgresql
6000,tcp,x11
6379,tcp,redis
9090,tcp,prometheus
123,udp,ntp
5222,tcp,xmpp
162,udp,snmp
6443,tcp,kubernetes
9090,tcp,prometheus
3306,tcp,mysql
1812,udp,radius
1812,udp,radius
6443,tcp,kubernetes
5222,tcp,xmpp
68,udp,dhcp
443,tcp,gitlab
2181,tcp,zookeeper
139,tcp,samba
22,tcp,scp
80,tcp,web
110,tcp,pop3
2379,tcp,etcd
443,tcp,web
5900,tcp,vnc
194,tcp,irc
11211,tcp,memcached
587,tcp,smtp
5900,tcp,vnc
389,tcp,ldap
2379,tcp,etcd
9092,tcp,kafka
3000,tcp,grafana
80,tcp,http
6000,tcp,x11
993,tcp,imap
3389,tcp,rdp
443,tcp,gitlab
8443,tcp,https
2181,tcp,zookeeper
9042,tcp,cassandra
22,tcp,sftp
389,tcp,ldap
22,tcp,sftp
69,udp,tftp
143,tcp,imap
2181,tcp,zookeeper
27017,tcp,mongodb
3306,tcp,mysql
9042,tcp,cassandra
3000,tcp,grafana
53,udp,dns
67,udp,dhcp
2049,tcp,nfs
2181,tcp,zookeeper
9042,tcp,cassandra
68,udp,dhcp
873,tcp,rsync
161,udp,snmp
8443,tcp,web
69,udp,tftp
3389,tcp,rdp
2181,tcp,zookeeper
2375,tcp,docker
8080,tcp,http
6000,tcp,x11
69,udp,tftp
