dstport	protocol	tag
1	udp	tag1
2	icmp	tag2
3	tcp	tag3
4	udp	tag4
5	icmp	tag5
6	tcp	tag6
7	udp	tag7
8	icmp	tag8
9	tcp	tag9
10	udp	tag10
11	icmp	tag11
12	tcp	tag12
13	udp	tag13
14	icmp	tag14
15	tcp	tag15
16	udp	tag16
17	icmp	tag17
18	tcp	tag18
19	udp	tag19
20	icmp	tag20
21	tcp	tag21
22	udp	tag22
23	icmp	tag23
24	tcp	tag24
25	udp	tag25
26	icmp	tag26
27	tcp	tag27
28	udp	tag28
29	icmp	tag29
30	tcp	tag30
31	udp	tag31
32	icmp	tag32
33	tcp	tag33
34	udp	tag34
35	icmp	tag35
36	tcp	tag36
37	udp	tag37
38	icmp	tag38
39	tcp	tag39
40	udp	tag40
41	icmp	tag41
42	tcp	tag42
43	udp	tag43
44	icmp	tag44
45	tcp	tag45
46	udp	tag46
47	icmp	tag47
48	tcp	tag48
49	udp	tag49
50	icmp	tag50
51	tcp	tag51
52	udp	tag52
53	icmp	tag53
54	tcp	tag54
55	udp	tag55
56	icmp	tag56
57	tcp	tag57
58	udp	tag58
59	icmp	tag59
60	tcp	tag60
61	udp	tag61
62	icmp	tag62
63	tcp	tag63
64	udp	tag64
65	icmp	tag65
66	tcp	tag66
67	udp	tag67
68	icmp	tag68
69	tcp	tag69
70	udp	tag70
71	icmp	tag71
72	tcp	tag72
73	udp	tag73
74	icmp	tag74
75	tcp	tag75
76	udp	tag76
77	icmp	tag77
78	tcp	tag78
79	udp	tag79
80	icmp	tag80
81	tcp	tag81
82	udp	tag82
83	icmp	tag83
84	tcp	tag84
85	udp	tag85
86	icmp	tag86
87	tcp	tag87
88	udp	tag88
89	icmp	tag89
90	tcp	tag90
91	udp	tag91
92	icmp	tag92
93	tcp	tag93
94	udp	tag94
95	icmp	tag95
96	tcp	tag96
97	udp	tag97
98	icmp	tag98
99	tcp	tag99
100	udp	tag100
101	icmp	tag101
102	tcp	tag102
103	udp	tag103
104	icmp	tag104
105	tcp	tag105
106	udp	tag106
107	icmp	tag107
108	tcp	tag108
109	udp	tag109
110	icmp	tag110
111	tcp	tag111
112	udp	tag112
113	icmp	tag113
114	tcp	tag114
115	udp	tag115
116	icmp	tag116
117	tcp	tag117
118	udp	tag118
119	icmp	tag119
120	tcp	tag120
121	udp	tag121
122	icmp	tag122
123	tcp	tag123
124	udp	tag124
125	icmp	tag125
126	tcp	tag126
127	udp	tag127
128	icmp	tag128
129	tcp	tag129
130	udp	tag130
131	icmp	tag131
132	tcp	tag132
133	udp	tag133
134	icmp	tag134
135	tcp	tag135
136	udp	tag136
137	icmp	tag137
138	tcp	tag138
139	udp	tag139
140	icmp	tag140
141	tcp	tag141
142	udp	tag142
143	icmp	tag143
144	tcp	tag144
145	udp	tag145
146	icmp	tag146
147	tcp	tag147
148	udp	tag148
149	icmp	tag149
150	tcp	tag150
151	udp	tag151
152	icmp	tag152
153	tcp	tag153
154	udp	tag154
155	icmp	tag155
156	tcp	tag156
157	udp	tag157
158	icmp	tag158
159	tcp	tag159
160	udp	tag160
161	icmp	tag161
162	tcp	tag162
163	udp	tag163
164	icmp	tag164
165	tcp	tag165
166	udp	tag166
167	icmp	tag167
168	tcp	tag168
169	udp	tag169
170	icmp	tag170
171	tcp	tag171
172	udp	tag172
173	icmp	tag173
174	tcp	tag174
175	udp	tag175
176	icmp	tag176
177	tcp	tag177
178	udp	tag178
179	icmp	tag179
180	tcp	tag180
181	udp	tag181
182	icmp	tag182
183	tcp	tag183
184	udp	tag184
185	icmp	tag185
186	tcp	tag186
187	udp	tag187
